user,median_timestamp_diff,std_timestamp_diff,n_entries
0,19.0,71662.86691449991,53
1,10.0,20.706273345519588,129
2,20.0,52.3771095040572,51
4,18.0,70.34523114429844,198
5,18.0,71.2771022567728,71
6,18.0,18.587959065540847,31
7,19.0,1154.7520029884327,139
8,13.0,30.039179253924914,106
9,20.0,68209.40593188153,401
10,27.5,58141.86877141673,137
12,18.0,30.38694181484484,108
14,15.0,10515.372220587344,201
15,18.0,25.865184814091858,35
16,18.0,26.059196956770293,211
17,18.0,32.80724928309067,305
18,17.0,726456.6109380221,255
21,17.0,571042.7648477572,297
22,18.0,874206.1914597359,304
23,14.0,687711.3964323993,136
24,20.5,27256.789805256845,85
25,20.0,8236.4467560384,400
26,18.0,28.493232779375905,70
27,14.5,82707.95051527547,107
28,18.0,1221.7172674116684,108
29,18.0,31.9261921630461,43
30,18.0,19.761623440097775,119
31,17.0,465.3354461145133,48
32,15.0,31076.470311325316,391
33,11.0,17.884577303103935,164
34,16.0,7530.646904241472,198
35,15.0,1758540.474233719,351
36,20.0,1324.630374228374,53
37,21.0,51.70244226799997,100
38,18.0,26.893291479082226,62
39,18.0,76.87485963773418,96
41,18.0,27.85742291279211,231
43,18.0,1879082.0780311993,193
44,18.0,31.28132834330794,297
45,18.0,30.425636805168104,41
47,18.0,11117.236742025201,598
48,18.0,80666.0296929169,108
49,18.0,30.808677400605873,43
50,18.0,35.087286668151904,40
51,18.0,66.07681860234719,79
52,18.0,742.3874195449303,684
53,18.0,36.49670128204387,40
55,18.0,40.77711596483437,67
56,18.0,100.1381006601867,64
57,18.0,66.82870938631756,437
58,1.0,4387018.542753645,213
59,18.0,29.851786789791387,70
60,25.0,36.92556218742165,36
61,25.0,1870.2999210045195,498
62,18.0,173374.4979082587,98
64,26.0,1736296.226073505,121
66,41.0,77.18814400022876,64
67,21.0,1588341.355155925,72
68,18.0,54.16880579710406,65
69,18.0,55.59316696860456,54
71,27.5,37.42457266898023,43
72,18.0,269698.2505222643,255
73,5.0,1457877.7915986918,43
74,18.0,48459.03361622301,175
75,18.0,1205379.2037514392,87
76,7.5,30.605432863719205,39
77,18.0,64092.960428631166,140
78,18.0,46.55688277079269,31
79,58.0,2307539.761546836,48
80,18.0,49.81754391437719,86
81,18.0,95802.63435658174,118
82,18.0,145.9765365004358,99
83,33.0,67.62676163242544,31
84,24.0,2065066.4378491007,39
85,64.0,480206.7449054342,48
86,18.0,9571.776222742776,59
87,18.0,79.81975127279067,68
89,14.0,1053651.614878205,225
90,18.0,27.184624070054358,44
91,18.0,396489.8177384158,430
92,18.0,31.553537639675984,220
94,18.0,49.943450945826484,99
95,24.0,326692.9962497319,81
96,18.0,1780374.4828890953,154
98,18.5,1159809.9436919831,107
99,15.0,25.635829093932838,76
100,18.0,35.640665708628326,106
101,17.0,3851124.693766456,132
102,18.0,36.81573826748211,115
103,18.0,5676378.0051496085,46
104,18.0,41.034331831880586,61
105,18.0,25.120428277085498,47
106,18.0,51.11434893126066,121
107,18.0,35.96177454457804,37
108,27.0,740.2959944339832,81
109,18.0,32.749098383936364,80
110,11.0,27.439395405859468,92
111,18.0,17.466724633008422,60
112,18.0,29.774454747168765,68
113,18.0,289562.09280054085,98
114,18.0,72.41917990905296,38
115,18.0,1676565.1132918498,86
116,18.0,50453.1639358275,505
117,18.0,557.3858511208377,224
118,23.5,43314.458243972564,105
119,18.0,86950.52694221961,63
120,18.0,44.10579065937435,72
121,12.0,2107049.688943347,57
122,23.0,49593.350563780004,608
124,18.0,8730.31149484019,71
125,15.5,28.258690698615176,51
126,18.0,1453617.9858674796,174
128,18.0,62.94834177321306,158
129,18.0,31.86050851247044,135
130,20.5,1346954.0761195004,295
131,18.0,63.632869222238796,89
132,19.0,1326055.3065169852,170
133,18.0,1810393.8824390746,183
134,18.0,13.881213590217536,70
135,12.0,5433.463741106727,378
136,18.0,1657119.196172635,201
137,18.0,15.889564861391737,65
138,18.0,26.76860819771518,245
139,18.0,1568386.1224976047,55
141,18.0,315790.91564003425,47
142,16.0,29.2553761340837,68
143,22.0,81.8109925472175,32
144,18.0,27.466272442463985,39
145,16.0,1345149.6612589036,426
146,10.0,1412.8669134955057,187
147,18.0,92213.47514650004,624
148,18.0,534334.6923921433,592
149,16.0,1472401.666610752,232
150,18.0,663928.8655760265,471
153,18.0,74.4498335638518,44
154,23.0,144.82875320954983,96
155,18.0,25.612075958644578,148
156,18.0,1654099.657519737,427
158,11.0,17.29466120288134,36
160,18.0,18.367524306277897,297
161,13.5,344635.93257936684,107
162,18.0,38124.930112235495,514
164,12.0,28.208564076929108,110
165,19.0,63036.191332214155,410
166,18.0,248.3631523862174,58
168,15.0,845483.7670161191,552
169,18.0,25.15657835018119,87
172,18.0,600850.0888211507,561
173,18.0,20.257703867225974,97
174,15.0,118082.04961915934,317
175,18.0,26.093814684389642,78
176,22.0,70.27422143250564,44
177,18.0,786.8348567504341,115
178,18.0,15.9830785446462,110
179,18.0,2669740.5507606235,59
180,18.0,23.110894737234982,301
181,13.0,18.602370429700812,83
182,18.0,1926177.426084252,101
183,18.0,4363257.6336486,84
184,18.0,25.240990471849553,51
185,18.0,50.49299338507181,122
186,18.0,7528.109404521672,417
187,18.0,4085496.1152397688,71
188,19.0,18.8129978708575,31
189,10.0,20.48435213716129,153
190,30.0,12931.270558120908,30
191,22.5,841648.2414761592,525
192,18.0,3180706.6432666145,242
193,16.0,630.9520449732182,59
194,945.0,185914.31635695195,822
195,18.0,37.11693701704891,32
197,18.0,469103.993401405,379
198,6.0,842.4020838723598,402
200,44.0,1721266.833474833,87
201,18.0,17.084206952637224,670
202,18.0,18.15780224346893,127
203,18.0,326295.6899357058,446
204,18.0,62.24022154783914,153
205,18.0,26.31682931796254,30
207,21.0,1482996.240210444,184
209,18.0,18036.32661586404,110
210,18.0,20.6788761047359,35
211,22.0,3847.372701771672,110
213,18.0,21.293889154759164,166
214,19.0,356231.11645822885,34
215,18.0,21.824503179451266,794
217,18.0,1468864.0784341022,86
218,22.0,127.30803395781462,36
219,18.0,15917.952354775567,102
221,18.0,25.08849902261631,80
222,13.0,4367.279278869009,256
223,8.0,799728.8992727397,204
224,18.0,15512.452242018499,508
227,45.0,2147655.8813136877,31
228,23.0,4327857.857773226,212
229,21.0,48.08855302411413,179
230,27.5,3545234.7919418854,97
231,18.0,25.30463305371337,90
232,18.0,30.300345653895796,53
234,14.0,931609.4566266551,440
235,18.0,94.65343793875304,62
236,35.0,1803684.2650862574,166
237,18.0,324.4581479431336,258
238,28.5,3218293.008959652,71
239,16.0,26.470972000646224,143
240,18.0,76.06930748216605,57
241,17.0,419187.5574161133,273
242,18.0,106.49159572913489,33
243,17.5,6933.570931742499,85
244,18.0,3212.3504760551423,764
246,26.0,48.293788420458384,31
247,18.0,288382.4195319824,34
248,24.0,56.82673376351819,110
250,18.0,52135.015363407234,73
251,1.0,33.731283445893524,60
252,18.0,43593.28137774463,53
254,17.0,26.632469944611614,244
255,18.0,21.88387600431847,95
256,13.5,49.370399943007804,53
257,9.5,20.119251680776912,145
258,24.5,474980.0528168543,139
